author,bookformat,desc,genre,img,isbn,isbn13,link,pages,rating,reviews,title,totalratings
Andrea Stewart,English,"The emperor's reign has lasted for decades, his mastery of bone shard magic powering the animal-like constructs that maintain law and order. But now his rule is failing, and revolution is sweeping across the Empire's many islands.Lin is the emperor's daughter and spends her days trapped in a palace of locked doors and dark secrets. When her father refuses to recognise her as heir to the throne, she vows to prove her worth by mastering the forbidden art of bone shard magic.Yet such power carries a great cost, and when the revolution reaches the gates of the palace, Lin must decide how far she is willing to go to claim her birthright - and save her people.","['Young Adult', 'Magic', 'Queer', 'Lesbian', 'Audiobook', 'LGBT', 'High Fantasy', 'Fantasy', 'Fiction', 'Adult']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1586229099i/50706646.jpg,0316541427,9780316541428,https://www.goodreads.com/book/show/50706646-the-bone-shard-daughter,435.0,4.01,5240.0,The Bone Shard Daughter,29106.0
Garth Nix,English,"Garth Nix returns to the Old Kingdom for the never-before-told love story of Sabriels parents, Terciel and Elinor, and the charter magic that brought them togetherand threatened to tear them apart.A long-awaited prequel to a classic fantasy series.In the Old Kingdom, a land of ancient and often terrible magics, eighteen year-old orphan Terciel learns the art of necromancy from his great-aunt Tizanael. But not to raise the Dead, rather to lay them to rest. He is the Abhorsen-in-Waiting, and Tizanael is the Abhorsen, the latest in a long line of people whose task it is to make sure the Dead do not return to Life.Across the Wall in Ancelstierre, a steam-age country where magic usually does not work, nineteen year-old Elinor lives a secluded life. Her only friends an old governess and an even older groom who was once a famous circus performer. Her mother is a tyrant, who is feared by all despite her sickness and impending death . . . but perhaps there is even more to fear from that.Elinor does not know she is deeply connected to the Old Kingdom, nor that magic can sometimes come across the Wall, until a plot by an ancient enemy of the Abhorsens brings Terciel and Tizanael to Ancelstierre. In a single day of fire and death and loss, Elinor finds herself set on a path which will take her into the Old Kingdom, into Terciels life, and will embroil her in the struggle of the Abhorsens against the Dead who will not stay dead.","['Young Adult', 'Magic', 'Audiobook', 'Science Fiction Fantasy', 'Romance', 'Young Adult Fantasy', 'High Fantasy', 'Fantasy', 'Fiction', 'Adventure']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1613515950i/56382390.jpg,0063049325,9780063049321,https://www.goodreads.com/book/show/56382390-terciel-and-elinor,338.0,4.2,859.0,Terciel and Elinor,6435.0
Emma Donoghue,English,"In an Ireland doubly ravaged by war and disease, Nurse Julia Power works at an understaffed hospital in the city center, where expectant mothers who have come down with the terrible new Flu are quarantined together. Into Julia's regimented world step two outsidersDoctor Kathleen Lynn, a rumoured Rebel on the run from the police, and a young volunteer helper, Bridie Sweeney.In the darkness and intensity of this tiny ward, over three days, these women change each other's lives in unexpected ways. They lose patients to this baffling pandemic, but they also shepherd new life into a fearful world. With tireless tenderness and humanity, carers and mothers alike somehow do their impossible work.In The Pull of the Stars, Emma Donoghue once again finds the light in the darkness in this new classic of hope and survival against all odds.","['Adult', 'Audiobook', 'Queer', 'LGBT', 'Literary Fiction', 'Adult Fiction', 'Fiction', 'Ireland', 'Historical', 'Historical Fiction']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1591030878i/52722079.jpg,0316499013,9780316499019,https://www.goodreads.com/book/show/52722079-the-pull-of-the-stars,295.0,3.96,10293.0,The Pull of the Stars,79620.0
Ursula Murray Husted,English,"A graphic novel about two irresistible cat friends on a journey to find their forever homea journey inspired by the magic of art and storytelling. Cilla and Betto are two friends who need a place to call home. The docks in Valletta are too wet, and the scraps of food too scarce. The citys streets are too busy, and the humans too unreliable.But what about the quiet garden from old kitten talesa place where all cats are welcome, and the humans are always kind? Could the stories really be true?As Cilla and Betto embark on a grand adventure to find out, they begin to spin a tale of their ownone that will take them through the art and stories of many journeyers who came before, and that will bring them to a surprising destination.","['Cats', 'Fantasy', 'Animals', 'Graphic Novels', 'Middle Grade', 'Childrens', 'Art', 'Fiction', 'Comics', 'Adventure']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1589285272i/50358045.jpg,0062932047,9780062932044,https://www.goodreads.com/book/show/50358045-a-cat-story,192.0,3.78,201.0,A Cat Story,1147.0
Jacob Acerbi,English,"""An evocative portrait of a troubled soul in a bewildering land.""KirkusThe riveting true story of the transformation of a Chinese city and an American who finds himself stranded there.A detailed chronicle of everyday life in modern China, a window into the lives of Chinese peasants and the foreigners with whom they fall in and out of romance, and an inspiring tale of courage and love, Chaos and Grime: A Year in the Life of a Chinese City takes you where no memoir has dared to go before now. This ""shocking,"" ""disturbing,"" and ""Kafkaesque"" real-life thriller pulls no punches in painting a complex portrait of contemporary China.Jim is a young American scholar. In the summer he arrives in Wuhan, the heart of China on the Yangtze River. In this world of cement and corruption, of fraud and fickle women, his initial optimism gives way to a poignant series of devastating revelations about what really happens to Chinas leftover women and how the authorities stop at nothing to try to prevent such knowledge from getting out.An intensely personal story of understanding and connection, as well as an illumination of power relations in a society in flux, Chaos and Grime captures in exquisite detail the lives of those caught up in the currents of history as it occurs here and now.""This book should be required reading in Asian studies classes in colleges all over the United States.""Amazon","['China', 'Nonfiction']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1579676794i/50402316.jpg,1734454423,9781734454420,https://www.goodreads.com/book/show/50402316-chaos-and-grime,265.0,2.8,14.0,Chaos and Grime: A Year in the Life of a Chinese City,44.0
"Karina  Reiss, Sucharit Bhakdi",English,"Does the race for vaccine development make sense? What are the chances of success? Will the vaccine be safe? Will people accept it??In June 2020, Corona, False Alarm? exploded into the German market, selling 200,000 copies and 75,000 e-books in the first six weeks.No other topic dominates our attention as much as coronavirus and COVID-19, the infectious disease it triggers. Theres been a global deluge of contradictory opinions, fake news, and politically controlled information. Differing views on the dangers posed by the pandemic have led to deep division and confusion, within governments, society, and even among friends and family.In Corona, False Alarm?, award-winning researchers Dr. Sucharit Bhakdi and Dr. Karina Reiss give clarity to these confusing and stressful times. They offer analysis of whether radical protective measuresincluding lockdown, social distancing, and mandatory maskinghave been justified, and what the ramifications have been for society, the economy, and public health. Dr. Bhakdi and Dr. Reiss provide dates, facts, and background information, How Covid-19 compares with previous coronaviruses and the flu virusWhat infection numbers and the death rate really tell usThe challenges around Were the protective measures justified?Mandatory Does the science support it? What are the chances of success? What are the risks?Corona, False Alarm? provides you with sound information and substantiated factsand encourages you to form your own opinion on the corona crisis.","['Politics', 'Audiobook', 'Medicine', 'Health', 'Nonfiction', 'Medical', 'Science']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1600457896i/55370694.jpg,,,https://www.goodreads.com/book/show/55370694-corona-false-alarm,153.0,4.12,99.0,"Corona, False Alarm?: Facts and Figures",673.0
Jen St. Jude,English,"We Are Okay meets They Both Die at the End in this YA debut about queer first love and mental health at the end of the world-and the importance of saving yourself, no matter what tomorrow may hold.Avery Byrne has secrets. She's queer; she's in love with her best friend, Cass; and she's suffering from undiagnosed clinical depression. But on the morning Avery plans to jump into the river near her college campus, the world discovers there are only nine days left to an asteroid is headed for Earth, and no one can stop it.Trying to spare her family and Cass additional pain, Avery does her best to make it through just nine more days. As time runs out and secrets slowly come to light, Avery would do anything to save the ones she loves. But most importantly, she learns to save herself. Speak her truth. Seek the support she needs. Find hope again in the tomorrows she has left.If Tomorrow Doesn't Come is a celebration of queer love, a gripping speculative narrative, and an urgent, conversation-starting book about depression, mental health, and shame.","['Young Adult', 'Dystopia', 'Queer', 'Lesbian', 'LGBT', 'Romance', 'Science Fiction', 'Contemporary', 'Mental Health', 'Fiction']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1692314275i/62039307.jpg,1547611367,9781547611362,https://www.goodreads.com/book/show/62039307-if-tomorrow-doesn-t-come,416.0,4.21,833.0,If Tomorrow Doesn't Come,3348.0
Wendy  Holden,English,"The Duchess, the second novel in Wendy Holden's trilogy about royal outsiders, fictionalises the unknown London life of Wallis Simpson.Arriving in 1928, Wallis was a divorced, penniless, middle-aged foreigner with average looks and no connections. Yet, just eight years later, a king renounced his throne for her. How did a woman from nowhere capture the heart of the world's most glamorous bachelor? Wendy Holden tells the amazing story.","['Historical Romance', 'Romance', 'British Literature', 'Drama', 'Fiction', 'Historical', 'Historical Fiction']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1619853905i/56072331.jpg,178739624X,9781787396241,https://www.goodreads.com/book/show/56072331-the-duchess,352.0,3.98,256.0,The Duchess,2130.0
Jessi Jezewska Stevens,English,"Percy is pregnant. She hasn't told a soul. Probably she should tell her husband--certainly she means to--but one night she wakes up to find she no longer recognizes him. Now, instead of sleeping, Percy is spending her nights taking walks through her neighborhood, all the while fretting over her marriage, her impending motherhood, and the sinister ways the city is changing.Amid this alienation--from her husband, home, and rapidly changing body--a package arrives. In it: an exhibition catalog for a photography show. The photographs consist of a series of digitally manipulated images of a woman lying on a bed in a red room. It takes a moment for even Percy to notice that the woman is herself . . . but no one else sees the resemblance.Percy must now come to grips with the fundamental question of identity in the digital age: To what extent do we own our own image, and to what extent is that image shaped by the eyes of others?Capturing perfectly the haunted atmosphere of Manhattan immediately after 9/11--and the simmering insanity of America ever since--Jessi Jezewska Stevens's The Exhibition of Persephone Q is a darkly witty satire about how easy it is to lose ownership of our own selves.","['Novels', 'Literature', 'Thriller', 'Literary Fiction', 'Mystery Thriller', 'Feminism', 'Contemporary', 'Mental Health', 'Fiction', 'Adult']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1560800714i/45892266.jpg,0374150923,9780374150921,https://www.goodreads.com/book/show/45892266-the-exhibition-of-persephone-q,224.0,3.41,131.0,The Exhibition of Persephone Q,631.0
"Shane Devries, Tom    Fletcher",English,"The electrifying number one bestselling adventure from the author of The Christmasaurus and The Creakers , Tom Fletcher!Franky can't wait to move to his new town - although he wishes he didn't have to leave his best friend Dani behind.But everything changes after the storm, when strange green lightning and powerful thunder crash down on the town. From that night on, the kids who live on Franky's street start to change. One by one, they become a little odd . A little unusual . A little... magical .Franky's always wanted to be part of an amazing gang - just like his hero, super-spy Zack Danger! And soon, he realises that there's real danger in store for himself and his new friends.And so the Danger Gang is born...","['Novels', 'Magic', 'Audiobook', 'Science Fiction', 'Middle Grade', 'Childrens', 'Fantasy', 'Fiction', 'Adventure']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1627125500i/58032441.jpg,024140746X,9780241407462,https://www.goodreads.com/book/show/58032441-the-danger-gang,448.0,4.22,182.0,The Danger Gang,1579.0
