author,bookformat,desc,genre,img,isbn,isbn13,link,pages,rating,reviews,title,totalratings
Jeffrey Cohen,English,"All Elliot Freed wanted to do was to make people die laughing. But he didn't mean it literally. The dead guy in Row S, Seat 18, is no joke. Elliot Freed, recovering writer, socked all his savings-and the alimony from his ex-wife-into the Comedy Tonight movie theater, never suspecting it would become a murder scene. And murder can't be good for ticket sales... Death by popcorn was the cause. Poisoned popcorn. To the chagrin of the police, Elliot takes to his bike to start his own investigation. A growing attraction to a beautiful detective, the discovery of a DVD pirating operation, and one missing employee later, Elliot's still waiting for the punch line. But this one might knock his theater-and Elliot-out for good...","['Amateur Sleuth', 'Cozy Mystery', 'Fiction', 'Mystery', 'Mystery Thriller', 'Humor', 'Crime']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1392594254i/675617.jpg,042521799X,9780425217993,https://www.goodreads.com/book/show/675617.Some_Like_It_Hot_Buttered,289.0,3.71,101.0,Some Like It Hot-Buttered,650.0
M.C. Beaton,English,"After being shaved bald during a previous case, Agatha Raisin goes to a seaside resort and enlists the aid of a local witch to grow her hair back, putting her right in the middle of things when the witch is found dead. Reprint.","['Audiobook', 'Murder Mystery', 'Cozy Mystery', 'British Literature', 'Fiction', 'Mystery', 'Mystery Thriller', 'Humor', 'Crime', 'Adult']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1391755881i/897141.jpg,0312973691,9780312973698,https://www.goodreads.com/book/show/897141.Agatha_Raisin_and_the_Witch_of_Wyckhadden,196.0,3.75,632.0,Agatha Raisin and the Witch of Wyckhadden,10859.0
Victoria Laurie,English,"Abby Cooper?s betting the house on her inner eye...It took a while for Abby Cooper's FBI agent boyfriend, Dutch Rivers, to accept her psychic gifts as the real deal. But these days he knows better than to question Abby's visions. So when his favorite cousin Chase is kidnapped in Vegas, they both catch the next flight to Sin City. Abby's inner eye insists that Chase is still alive, but nothing else about the case adds up- especially Dutch's reluctance to involve his own Bureau. On top of everything, Dutch is battling a mysterious illness, and Abby keeps having disturbing dreams that predict his death. Dutch wants Abby to promise that if the investigation goes south, she'll head home to safety. But when the chips are down, Abby won't fold without a fight...","['Cozy Mystery', 'Mystery', 'Paranormal Mystery', 'Paranormal', 'Fiction', 'Chick Lit', 'Romance', 'Supernatural', 'Fantasy', 'Paranormal Romance']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1442897349i/3143259.jpg,0451224868,9780451224866,https://www.goodreads.com/book/show/3143259-death-perception,314.0,4.11,258.0,Death Perception,5296.0
Elly Griffiths,English,"Ruths old friend Dan Golding dies in a house fire. But before he died Dan wrote to Ruth telling her that he had made a ground-breaking archaeological discovery. Could this find be linked to his death and who are the sinister neo-Nazi group who were threatening Dan? Ruth makes the trip to Blackpool to investigate, wary of encroaching on DCI Harry Nelsons home ground. Soon Ruth is embroiled in a mystery that involves the Pendle Witches, King Arthur and  scariest of all  Nelsons mother.There are forces at work in the town that that threaten all that Ruth holds dear. But, in the final showdown on Blackpool Pleasure Beach, it is Cathbad who faces the greatest danger of all.","['Archaeology', 'Detective', 'Audiobook', 'Murder Mystery', 'British Literature', 'Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Crime']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348098482i/15814458.jpg,0547798164,9780547798165,https://www.goodreads.com/book/show/15814458-a-dying-fall,391.0,4.06,1759.0,A Dying Fall,25267.0
Rhys Bowen,English,"Molly Murphy is sent by aging well-off NYC theatrical impresario Tommy Burke to find baby sister left with parish priest when they fled famine. But even before the ship lands, Broadway's leading actress, Oona Sheehan, vanishes, and her maid is found dead in her cabin.","['Ireland', 'Cozy Mystery', 'Fiction', 'Mystery', 'Historical', 'Mystery Thriller', 'Historical Fiction', 'Romance', 'Historical Mystery', 'Crime']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1392447376i/364542.jpg,0312328192,9780312328191,https://www.goodreads.com/book/show/364542.In_Dublin_s_Fair_City,265.0,4.03,348.0,In Dublin's Fair City,5715.0
"Alice Kimberly, Cleo Coyle",English,"A film festival gone noir gives bookshop owner Penelope Thornton-McClure and her ghostly companion a big screen caper to solve in this Haunted Bookshop mystery from Cleo Coyle, writing as Alice Kimberly. The Movie Town Theater is holding its first ever Film Noir Festival, with Pen handling book sales for the guest speakers, including screen actress Hedda Geist. The legendary femme fatale has been out of the spotlight for decades. Unfortunately, the moment she steps back into it, she's nearly killed. Then other guests start to die, and Penelope wants to know why her little town's Film Noir weekend has taken a truly dark turn. With local police on the wrong track, Penelope enlists the help of Jack Shepard, private investigator. Okay, so Jack hasn't had a heartbeat since 1949, when he was gunned down in what is now Pen's store. But the hard-boiled ghost actually remembers Hedda's dark past and Penelope's sure he can help solve this case-even if he and his license did expire more than fifty years ago ...","['Audiobook', 'Cozy Mystery', 'Fiction', 'Mystery', 'Paranormal', 'Paranormal Mystery', 'Ghosts', 'Supernatural', 'Fantasy', 'Crime']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388345973i/2285419.jpg,0425218384,9780425218389,https://www.goodreads.com/book/show/2285419.The_Ghost_and_the_Femme_Fatale,235.0,4.05,169.0,The Ghost and the Femme Fatale,2480.0
Dorothy Gilman,English,"Mrs. Virgil (Emily) Pollifax of New Brunswick, New Jersey, was a widow with grown children. She was tired of attending her Garden Club meetings. She wanted to do something good for her country. So, naturally, she became a CIA agent. This time, the assignment sounds as tasty as a taco. A quick trip to Mexico City is on her agenda. Unfortunately, something goes wrong, and our dear Mrs. Pollifax finds herself embroiled in quite a hot Cold Warand her country's enemies find themselves entangled with one unbelievably feisty lady.","['Audiobook', 'Cozy Mystery', 'Adventure', 'Fiction', 'Mystery', 'Thriller', 'Mystery Thriller', 'Espionage', 'Suspense', 'Humor']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1407611607i/140524.jpg,0449208281,9780449208281,https://www.goodreads.com/book/show/140524.The_Unexpected_Mrs_Pollifax,204.0,4.16,2657.0,The Unexpected Mrs. Pollifax,27464.0
Susan Wittig Albert,English,"Lawyer-turned-herbalist China Bayles returns to the Deep South, where her familys legacy of silence is at last brokenand the past finally, unforgettably, speaks the truth  A frantic phone call from her mother brings China back to her familys Mississippi plantationa place shed forsaken long ago. But the late-spring air is thick with fearand from the moment of her arrival, China knows that something has gone desperately wrong at Jordans Crossing. An ancient property deed has surfacedand the man who uncovered it has mysteriously vanished. And as the fates and fortunes of two very different families collide in frightening, unpredictable ways, China must face disturbing new questions about her familys pastand her own future ","['Audiobook', 'Murder Mystery', 'Southern', 'Cozy Mystery', 'Fiction', 'Mystery', 'Herbs', 'Mystery Thriller', 'Crime', 'Adult']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1309201467i/586441.jpg,0425188140,9780425188149,https://www.goodreads.com/book/show/586441.Bloodroot,320.0,4.0,168.0,Bloodroot,2651.0
Jayne Ann Krentz,English,"Verity Ames, small town restaurateur, is involved in a passionate affair with Jonas Quarrel, Renaissance scholar turned dishwasher.Feeling that Jonas is underutilized, Verity signs him up to authenticate a sixteenth-century Italian villa on a remote island in the Pacific Northwest. Why pass on the opportunity to investigate the past and include a romantic getaway.On the island, passions flare and events turn deadly. Someone does not want Verity and Jonas to discover the truth.","['Romance', 'Fiction', 'Romantic Suspense', 'Paranormal', 'Mystery', 'Suspense', 'Contemporary Romance', 'Fantasy', 'Paranormal Romance', 'Contemporary']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388532501i/186937.jpg,0446363820,9780446363822,https://www.goodreads.com/book/show/186937.Gift_of_Fire,344.0,3.97,58.0,Gift of Fire,2068.0
Kat Jorgensen,English,Becca Reynolds is having a bad day. But her day takes a turn for the worse when she finds the fledgling psychiatric firm's 8 o'clock patient dead in the waiting room. Becca appoints herself the unofficial investigator since the police seem to be doing a really bad job of finding the murderer.,"['Cozy Mystery', 'Mystery']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327822293i/12974873.jpg,,,https://www.goodreads.com/book/show/12974873-your-eight-o-clock-is-dead,319.0,3.7,30.0,Your Eight O'Clock Is Dead,100.0
