"TITLE"|"AUTHOR"|"PACE"|"LENGTH"|"PLOT_COMPLEXITY"|"THEMES"|"MOOD"
"The Woman in the Wall"|"Patrice Kindl"|"1"|"2"|"3"|"4|5"|"5"
"Everyone's a Aliebn When Ur a Aliebn Too"|"Jomny Sun"|"1"|"9"|"8"|"7|6|5|4|3|2"|"2"
"TITAN: From Earth's Past A Hero Rises: Adventure of an Olympian Book 1"|"Jeff Fuell"|""|""|""|""|""
"S.T.A.G.S"|"M.A. Bennett"|"1"|"4"|"3"|"2|5"|"5"
"Inside Divergent: The Initiate's World"|"Veronica Roth, Cecilia Bernard"|""|""|""|""|""
"Anna K: A Love Story"|"Jenny    Lee"|"1"|"4"|"3"|"5|2"|"2"
"Gotham High"|"Thomas Pitilli, Melissa de la Cruz"|""|""|""|""|""
"Ryan's Bed"|"Tijan"|"8"|"7"|"9"|"9"|""
"My Name Is Venus Black"|"Heather  Lloyd"|"1"|"2"|"3"|"4|5"|"5"
"Vampire Academy: The Untold Stories"|"Richelle Mead"|""|""|""|""|""
"How It Went Down"|"Kekla Magoon"|"1"|"2"|"3"|"4|5|3|2|1"|"4"
"The Last Secret Youll Ever Keep"|"Laurie Faria Stolarz"|""|""|""|""|""
"A Waltz for Matilda"|"Jackie French"|""|""|""|""|""
"The Girl from the Sea"|"Molly Knox Ostertag"|""|""|""|""|""
"Keep You from Harm"|"Debra Doxer"|""|""|""|""|""
"Are You Experienced?"|"Jordan Sonnenblick"|""|""|""|""|""
"Broken Knight"|"L.J. Shen"|"3"|"4"|"5"|"2|4|3|5"|"4"
"Darts and Flowers"|"Dean Backus"|""|""|""|""|""
"A Look at the Steps of Making Wine"|"The Saint"|""|""|""|""|""
"Massie"|"Lisi Harrison"|"1"|"2"|"3"|"4|5"|"5"
"The White Tower"|"Michael Wisehart"|""|""|""|""|""
"Blade of Secrets"|"Tricia Levenseller"|"3"|"4"|"5"|"2|4"|"4"
"Tweet Heart"|"Elizabeth Rudnick"|""|""|""|""|""
"An Heir Comes to Rise"|"C.C. Pearanda"|""|""|""|""|""
"Katherine: Heart of Freedom"|"Cameron Dokey"|"1"|"4"|"3"|"2|5"|"5"
"Girls in Love"|"Jacqueline Wilson"|"1"|"2"|"3"|"4|5"|"5"
"Silent Bob Speaks: The Selected Writings"|"Kevin Smith"|""|""|""|""|""
"Crossing Stones"|"Helen Frost"|"7"|"8"|"9"|"6|5"|"5"
"Drop-Out"|"Jeannette Eyerly"|""|""|""|""|""
"Future Diary, Volume 01"|"Sakae Esuno"|"1"|"8"|"7"|"9|6|5|4|8|7"|"7"
"The Reluctant Widow"|"Georgette Heyer"|"1"|"4"|"3"|"5|2|4|3"|"3"
"That Girl Lucy Moon"|"Amy Timberlake"|""|""|""|""|""
"Wetlands"|"Charlotte Roche"|""|""|""|""|""
"The Billionaire's Curse"|"Richard Newsome, Jonny Duddle"|"1"|"4"|"3"|"2|5"|"5"
"Sooner or Later"|"Bruce Hart, Carole Hart"|""|""|""|""|""
"No and Me"|"Delphine de Vigan"|"8"|"7"|"9"|"6|8"|"8"
"So Over You"|"Gwen Hayes"|""|""|""|""|""
"Testify"|"Valerie Sherrard"|""|""|""|""|""
"Anita and Me"|"Meera Syal"|"1"|"4"|"3"|"2|5|4|3"|"3"
"The Butterfly & The Bull"|"Stuart Haddon"|""|""|""|""|""
"Shock Point"|"April Henry"|""|""|""|""|""
"Amalee"|"Dar Williams"|""|""|""|""|""
"Extra Credit"|"Andrew Clements, Mark  Elliott"|""|""|""|""|""
"The Adventures of Barry Ween, Boy Genius 1"|"Judd Winick"|""|""|""|""|""
"SelfSame"|"Melissa Conway"|""|""|""|""|""
"Sparrow Hawk Red"|"Ben Mikaelsen"|""|""|""|""|""
"Alice Parker's Metamorphosis"|"Nicola Palmer"|""|""|""|""|""
"The Lost Temple"|"Tom Harper"|""|""|""|""|""
"A Density of Souls"|"Christopher  Rice"|"8"|"7"|"9"|"8"|""
"Finius Murk and the House of Cards"|"Gavin Driskell"|""|""|""|""|""
"Saint Training"|"Elizabeth Fixmer"|""|""|""|""|""
"Sherlock Holmes and the Case of the Hound of the Baskervilles"|"Arthur Conan Doyle, Malvina G. Vogel"|"1"|"9"|"8"|"7|6|5|4|3|2"|"2"
"The Revenge of the Shadow King"|"Derek Benz, J.S. Lewis"|"1"|"3"|"4"|"2|5"|"5"
"The White Horse Is Running"|"Fay Sampson"|""|""|""|""|""
"Cross Roads Reflections: Inspiration for Every Day of the Year"|"William Paul Young"|"1"|"8"|"7"|"9|6|5|4|3|2|10"|"10"
"Pulling Princes"|"Tyne O'Connell"|""|""|""|""|""
"Conversations with J.K. Rowling"|"Lindsey Fraser, J.K. Rowling"|""|""|""|""|""
"Blade's Edge"|"Virginia McClain"|""|""|""|""|""
"Taking Flight"|"Siera Maley"|"8"|"7"|"9"|"8"|""
"Madness: A Bipolar Life"|"Marya Hornbacher"|"7"|"9"|"8"|"6|10"|"10"
"How I Fall"|"Anne  Eliot"|""|""|""|""|""
"SuperMutant Magic Academy"|"Jillian Tamaki"|"8"|"7"|"6"|"9|5"|"5"
"Emergency Room"|"Caroline B. Cooney"|""|""|""|""|""
"Stealer"|"A.M. Yates"|""|""|""|""|""
"Seven Riddles to Nowhere"|"A.J. Cattapan"|"1"|"4"|"3"|"2|5|4|3"|"3"
"I Don't Want To Be Crazy"|"Samantha Schutz"|"1"|"2"|"3"|"4|5"|"5"
"The Ballad of Lucy Whipple"|"Karen Cushman"|"1"|"2"|"3"|"4|5"|"5"
"The Memory of Snow"|"Kirsty Ferry"|"1"|"4"|"3"|"5|2"|"2"
"Reign of Shadows"|"Sophie Jordan"|""|""|""|""|""
"The Girl From the Other Side: Siil, a Rn, Volume 1"|"Nagabe, Adrienne Beck"|"8"|"9"|"7"|"9|8"|"8"
"Stealing Light"|"Gary Gibson"|""|""|""|""|""
"Playbook Strategy to stand out like a BUSINESS GIANT"|"Ndeye Labadens"|""|""|""|""|""
"A Dark Lure"|"Loreth Anne White"|"3"|"4"|"5"|"2|4|3|5"|"4"
"His Hideous Heart"|"Caleb Roehrig, Lamar Giles, Rin Chupeco, Kendare Blake, Stephanie Kuehn, Amanda Lovelace, Emily Lloyd-Jones, Tessa  Gratton, Dahlia Adler, Marieke Nijkamp, Hillary Monahan, Fran Wilde, Tiffany D. Jackson"|"1"|"2"|"3"|"4|5|3|2|1"|"2"
"Touching The Earth: 21st Century Buddhism"|"Bern Callahan"|"21"|""|""|""|""
"Gifted: A Fairytale Memoirs novella"|"M. Marinan"|""|""|""|""|""
"Into the Crooked Place"|"Alexandra Christo"|""|""|""|""|""
"When Life Gives You Demons"|"Jennifer Honeybourn"|""|""|""|""|""
"Queens of Geek"|"Jen  Wilde"|"8"|"7"|"9"|"6|8"|"8"
"They Loved to Laugh"|"Kathryn Worth, Marguerite de Angeli"|"1"|"4"|"3"|"5|2"|"2"
"A Room Of My Own"|"Ann Tatlock"|""|""|""|""|""
"Within These Wicked Walls"|"Lauren Blackwood"|"7"|"8"|"9"|"6|7|8|9"|"8"
"Black Skies Riviera"|"Catherine Wiltcher"|""|""|""|""|""
"Patron Saints of Nothing"|"Randy Ribay"|"8"|"9"|"7"|"9|8"|"8"
"Not Even Bones"|"Rebecca Schaeffer"|"1"|"4"|"5"|"3|2|4|5"|"4"
"Christian Organizations"|"The Saint"|""|""|""|""|""
"The Black Phone"|"Joe Hill"|""|""|""|""|""
"The Ant Colony"|"Jenny Valentine"|""|""|""|""|""
"Burn Our Bodies Down"|"Rory Power"|"3"|"4"|"5"|"2|4"|"4"
"Escape Room"|"Maren Stoffels"|"8"|"7"|"9"|"6"|""
"Natural Insomnia Program: Blue Heron Health News"|"Christian G."|""|""|""|""|""
"Aces Wild: A Heist"|"Amanda DeWitt"|""|""|""|""|""
"The Bust Guide to the New Girl Order"|"Marcelle Karp, Debbie Stoller"|""|""|""|""|""
"Tomorrow Wendy"|"Shelley Stoehr"|"8"|"7"|"9"|"6|7"|"7"
"Year the Summer Died"|"Patricia Lee Gauch"|""|""|""|""|""
"Taronga"|"Victor Kelleher"|"

1"|"8"|"2"|"7|3|6|4|9|5"|"7"
"Rose of No Man's Land"|"Michelle Tea"|""|""|""|""|""
"Perfect World"|"Brian James"|""|""|""|""|""
"The Bat-Poet"|"Randall Jarrell, Maurice Sendak"|"7"|"8"|"9"|"6|5"|"5"
"Doctor Who: Wooden Heart"|"Martin Day"|""|""|""|""|""
"The Guide to the Territories of Halla"|"D.J. MacHale, Peter Ferguson"|""|""|""|""|""
"Breaking Rank"|"Kristen D. Randle"|"1"|"4"|"3"|"5|2"|"2"
"The Swan House"|"Elizabeth Musser"|""|""|""|""|""
"Dangerous Skies"|"Suzanne Fisher Staples"|""|""|""|""|""
"The Migraine And Headache Program: Blue Heron Health News"|"Christian G."|""|""|""|""|""
"Snowboarding ...to the Extreme: Rippin'"|"Sigmund Brouwer"|""|""|""|""|""
"The Trouble with Kings"|"Sherwood Smith"|"8"|"7"|"9"|"6|7"|"7"
"Laura Monster Crusher"|"Wesley King"|"8"|"7"|"6"|"5|7"|"7"
"Stargirl: Novel-Ties Study Guide"|"Carol  Alexander"|""|""|""|""|""
"Tweaked"|"Katherine Holubitsky"|"8"|"7"|"6"|"9"|""
"My Tiki Girl"|"Jennifer  McMahon"|""|""|""|""|""
"The President's Daughter"|"Ellen Emerson White"|"8"|"7"|"9"|"6|8"|"8"
"Perfect Ten"|"Michelle Craig"|""|""|""|""|""
"Pieces of Love"|"P.J. Sharon"|"1"|"4"|"3"|"2|5"|"5"
"Leap"|"Ava Bloomfield"|""|""|""|""|""
"Once Upon a Road Trip"|"Angela N. Blount"|""|""|""|""|""
"The Teenage Dirtbag Years"|"Paul        Howard, Ross O'Carroll-Kelly"|""|""|""|""|""
"Better Left Buried"|"Emma Haughton"|""|""|""|""|""
"Dangerous Creatures"|"Margaret Stohl, Kami Garcia"|"1"|"2"|"3"|"4|5"|"5"
"THE MASTER THERION"|"Paul Camster"|""|""|""|""|""
"Mistress to a Tycoon"|"Emma Darcy"|""|""|""|""|""
"Drift Race"|"David Jubermann"|""|""|""|""|""
"Home of the Brave"|"Katherine Applegate"|""|""|""|""|""
"Clockwork Lies: Iron Wind"|"Dru Pagliassotti"|"1"|"4"|"3"|"5|2"|"2"
"The Wall and the Wing"|"Laura Ruby"|""|""|""|""|""
"Anyone?"|"Angela  Scott"|""|""|""|""|""
"Six Months Later"|"Natalie D. Richards"|"8"|"7"|"6"|"7"|""
"Crimson Bound"|"Rosamund Hodge"|"7"|"8"|"9"|"6|7"|"7"
