"TITLE"|"AUTHOR"|"PACE"|"LENGTH"|"PLOT_COMPLEXITY"|"THEMES"|"MOOD"
"TITAN: From Earth's Past A Hero Rises: Adventure of an Olympian Book 1"|"Jeff Fuell"|"1"|""|""|""|""
"Inside Divergent: The Initiate's World"|"Veronica Roth, Cecilia Bernard"|""|""|""|""|""
"Gotham High"|"Thomas Pitilli, Melissa de la Cruz"|"7"|"6"|"8"|"7|6"|"6"
"Vampire Academy: The Untold Stories"|"Richelle Mead"|"8"|"7"|"9"|"6|8"|"8"
"The Last Secret Youll Ever Keep"|"Laurie Faria Stolarz"|""|""|""|""|""
"A Waltz for Matilda"|"Jackie French"|""|""|""|""|""
"The Girl from the Sea"|"Molly Knox Ostertag"|""|""|""|""|""
"Keep You from Harm"|"Debra Doxer"|""|""|""|""|""
"Are You Experienced?"|"Jordan Sonnenblick"|""|""|""|""|""
"Darts and Flowers"|"Dean Backus"|""|""|""|""|""
"A Look at the Steps of Making Wine"|"The Saint"|""|""|""|""|""
"The White Tower"|"Michael Wisehart"|"8"|"9"|"7"|"8|9"|"9"
"Tweet Heart"|"Elizabeth Rudnick"|""|""|""|""|""
"An Heir Comes to Rise"|"C.C. Pearanda"|""|""|""|""|""
"Silent Bob Speaks: The Selected Writings"|"Kevin Smith"|""|""|""|""|""
"Drop-Out"|"Jeannette Eyerly"|""|""|""|""|""
"That Girl Lucy Moon"|"Amy Timberlake"|""|""|""|""|""
"Wetlands"|"Charlotte Roche"|""|""|""|""|""
"Sooner or Later"|"Bruce Hart, Carole Hart"|""|""|""|""|""
"So Over You"|"Gwen Hayes"|"8"|"7"|"6"|"7|8"|"8"
"Testify"|"Valerie Sherrard"|""|""|""|""|""
"The Butterfly & The Bull"|"Stuart Haddon"|""|""|""|""|""
"Shock Point"|"April Henry"|""|""|""|""|""
"Amalee"|"Dar Williams"|""|""|""|""|""
"Extra Credit"|"Andrew Clements, Mark  Elliott"|"8"|"6"|"7"|"5|6"|"6"
"The Adventures of Barry Ween, Boy Genius 1"|"Judd Winick"|"8"|"9"|"7"|"6|8"|"8"
"SelfSame"|"Melissa Conway"|""|""|""|""|""
"Sparrow Hawk Red"|"Ben Mikaelsen"|""|""|""|""|""
"Alice Parker's Metamorphosis"|"Nicola Palmer"|""|""|""|""|""
"The Lost Temple"|"Tom Harper"|""|""|""|""|""
"Finius Murk and the House of Cards"|"Gavin Driskell"|""|""|""|""|""
"Saint Training"|"Elizabeth Fixmer"|""|""|""|""|""
"The White Horse Is Running"|"Fay Sampson"|""|""|""|""|""
"Pulling Princes"|"Tyne O'Connell"|""|""|""|""|""
"Conversations with J.K. Rowling"|"Lindsey Fraser, J.K. Rowling"|"1"|"2"|"3"|"4|5"|"5"
"Blade's Edge"|"Virginia McClain"|""|""|""|""|""
"How I Fall"|"Anne  Eliot"|""|""|""|""|""
"Emergency Room"|"Caroline B. Cooney"|""|""|""|""|""
"Stealer"|"A.M. Yates"|""|""|""|""|""
"Reign of Shadows"|"Sophie Jordan"|""|""|""|""|""
"Stealing Light"|"Gary Gibson"|""|""|""|""|""
"Playbook Strategy to stand out like a BUSINESS GIANT"|"Ndeye Labadens"|""|""|""|""|""
"Gifted: A Fairytale Memoirs novella"|"M. Marinan"|""|""|""|""|""
"Into the Crooked Place"|"Alexandra Christo"|""|""|""|""|""
"When Life Gives You Demons"|"Jennifer Honeybourn"|"8"|"7"|"6"|"7"|"7"
"A Room Of My Own"|"Ann Tatlock"|""|""|""|""|""
"Black Skies Riviera"|"Catherine Wiltcher"|""|""|""|""|""
"Christian Organizations"|"The Saint"|""|""|""|""|""
"The Black Phone"|"Joe Hill"|""|""|""|""|""
"The Ant Colony"|"Jenny Valentine"|""|""|""|""|""
"Natural Insomnia Program: Blue Heron Health News"|"Christian G."|""|""|""|""|""
"Aces Wild: A Heist"|"Amanda DeWitt"|"8"|"9"|"7"|"8|6"|"6"
"The Bust Guide to the New Girl Order"|"Marcelle Karp, Debbie Stoller"|""|""|""|""|""
"Year the Summer Died"|"Patricia Lee Gauch"|""|""|""|""|""
"Rose of No Man's Land"|"Michelle Tea"|""|""|""|""|""
"Perfect World"|"Brian James"|""|""|""|""|""
"Doctor Who: Wooden Heart"|"Martin Day"|""|""|""|""|""
"The Guide to the Territories of Halla"|"D.J. MacHale, Peter Ferguson"|""|""|""|""|""
"The Swan House"|"Elizabeth Musser"|""|""|""|""|""
"Dangerous Skies"|"Suzanne Fisher Staples"|""|""|""|""|""
"The Migraine And Headache Program: Blue Heron Health News"|"Christian G."|""|""|""|""|""
"Snowboarding ...to the Extreme: Rippin'"|"Sigmund Brouwer"|""|""|""|""|""
"Stargirl: Novel-Ties Study Guide"|"Carol  Alexander"|""|""|""|""|""
"My Tiki Girl"|"Jennifer  McMahon"|""|""|""|""|""
"Perfect Ten"|"Michelle Craig"|""|""|""|""|""
"Leap"|"Ava Bloomfield"|""|""|""|""|""
"Once Upon a Road Trip"|"Angela N. Blount"|""|""|""|""|""
"The Teenage Dirtbag Years"|"Paul        Howard, Ross O'Carroll-Kelly"|"8"|"9"|"7"|"9|8"|"8"
"Better Left Buried"|"Emma Haughton"|""|""|""|""|""
"THE MASTER THERION"|"Paul Camster"|""|""|""|""|""
"Mistress to a Tycoon"|"Emma Darcy"|""|""|""|""|""
"Drift Race"|"David Jubermann"|""|""|""|""|""
"Home of the Brave"|"Katherine Applegate"|"1"|"2"|"3"|"4|5"|"5"
"The Wall and the Wing"|"Laura Ruby"|""|""|""|""|""
"Anyone?"|"Angela  Scott"|""|""|""|""|""
"Annie & Snoopy"|"S.J. Walter"|""|""|""|""|""
"Boy 23"|"Jim Carrington"|""|""|""|""|""
"A Flash of Blue"|"Maria Farrer"|""|""|""|""|""
